,Sherpa,PoPy,VV
muons_MUON_EFF_RECO_STAT_LOWPT_1down_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muons_MUON_EFF_RECO_SYS_1down_MuEffSF_Reco_QualMedium,427313.7749633789,464983.5438232422,8434.560600854456
muons_MUON_EFF_RECO_SYS_LOWPT_1down_MuEffSF_Reco_QualMedium,429472.8018798828,467314.3734741211,8481.365100007039
muons_MUON_EFF_TTVA_STAT_1down_MuEffSF_TTVA,429106.53424072266,466917.07458496094,8473.759441097267
muons_MUON_EFF_TTVA_SYS_1down_MuEffSF_TTVA,429005.39416503906,466807.88372802734,8471.623966304585
muons_MUON_EFF_TrigStatUncertainty_1down_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429382.3832397461,467214.2067871094,8479.32726393221
muons_MUON_EFF_TrigStatUncertainty_1down_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,428348.4440307617,466085.23193359375,8458.587751773652
muons_MUON_EFF_TrigSystUncertainty_1down_MuEffSF_HLT_mu20_iloose_L1MU15_OR_HLT_mu50_QualMedium,429305.2741699219,467129.5479736328,8477.627657990437
muons_MUON_EFF_TrigSystUncertainty_1down_MuEffSF_HLT_mu26_ivarmedium_OR_HLT_mu50_QualMedium,427970.02032470703,465678.65466308594,8451.472701082472
jet_FT_EFF_Eigen_B_0_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_B_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429757.4710083008,467492.9045410156,8486.376702408772
jet_FT_EFF_Eigen_B_1_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_B_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429449.64630126953,467302.47033691406,8480.836104493123
jet_FT_EFF_Eigen_B_2_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_B_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429743.94061279297,467514.1756591797,8485.749846558552
jet_FT_EFF_Eigen_C_0_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_C_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,427968.54748535156,466008.01654052734,8412.643761734944
jet_FT_EFF_Eigen_C_1_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_C_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,428978.4345703125,466858.75994873047,8460.92511473177
jet_FT_EFF_Eigen_C_2_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_C_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429540.83251953125,467388.02325439453,8485.187625031453
jet_FT_EFF_Eigen_C_3_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_C_3_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429479.0987548828,467334.00970458984,8481.118796448689
jet_FT_EFF_Eigen_Light_0_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_Light_0_1down_global_ineffSF_MV2c10_FixedCutBEff_85,425356.4982910156,463420.4831542969,8393.170510805678
jet_FT_EFF_Eigen_Light_1_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_Light_1_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429435.90576171875,467254.482421875,8481.12036131043
jet_FT_EFF_Eigen_Light_2_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_Light_2_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429555.79400634766,467411.9401245117,8482.60735681234
jet_FT_EFF_Eigen_Light_3_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_Eigen_Light_3_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429473.67041015625,467324.3655395508,8481.040244476404
jet_FT_EFF_extrapolation_1down_global_effSF_MV2c10_FixedCutBEff_85,429472.8018798828,467314.3734741211,8481.365100007039
jet_FT_EFF_extrapolation_1down_global_ineffSF_MV2c10_FixedCutBEff_85,429521.9066772461,467344.98864746094,8484.03122625826
